ITEM;TimeStamp;Fecha-Hora;Temp2M;RH2M;PreS;Rain;;;
1;;1/1/2023 0:00;8.29;98.34;70.07;3.66;;;
2;;1/1/2023 1:00;8.12;98.58;70.01;3.89;;;
3;;1/1/2023 2:00;7.98;98.63;69.96;3.73;;;
4;;1/1/2023 3:00;7.82;98.85;69.95;3.26;;;
5;;1/1/2023 4:00;7.65;98.97;69.97;2.44;;;
6;;1/1/2023 5:00;7.62;98.92;70.02;1.94;;;
7;;1/1/2023 6:00;7.9;98.17;70.07;1.81;;;-BEGIN HEADER-
8;;1/1/2023 7:00;8.74;94.4;70.14;4.5;;;NASA/POWER Source Native Resolution Hourly Data 
9;;1/1/2023 8:00;9.48;90.16;70.2;5.28;;;Dates (month/day/year): 01/01/2023 through 01/01/2025 in LST
10;;1/1/2023 9:00;10.82;83.39;70.22;6.42;;;Location: Latitude  -0.0447   Longitude -78.2871 
11;;1/1/2023 10:00;12.22;76.06;70.2;8.77;;;Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3141.44 meters
12;;1/1/2023 11:00;13.25;70.69;70.15;10.7;;;The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
13;;1/1/2023 12:00;13.83;68.43;70.1;13.28;;;Parameter(s): 
14;;1/1/2023 13:00;13.26;71.11;70.04;17.54;;;T2M             MERRA-2 Temperature at 2 Meters (C) 
15;;1/1/2023 14:00;12.29;75.66;70.0;21.29;;;RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
16;;1/1/2023 15:00;11.32;80.32;69.99;25.76;;;PS              MERRA-2 Surface Pressure (kPa) 
17;;1/1/2023 16:00;10.45;84.85;70.0;28.75;;;PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
18;;1/1/2023 17:00;9.57;89.86;70.03;30.02;;;
19;;1/1/2023 18:00;8.73;95.15;70.07;29.63;;;
20;;1/1/2023 19:00;8.34;96.66;70.12;27.45;;;
21;;1/1/2023 20:00;8.15;96.97;70.18;22.5;;;
22;;1/1/2023 21:00;8.0;97.38;70.21;16.6;;;
23;;1/1/2023 22:00;7.84;97.82;70.21;11.3;;;
24;;1/1/2023 23:00;7.64;98.27;70.18;7.37;;;
25;;2/1/2023 0:00;7.47;98.49;70.13;4.89;;;
26;;2/1/2023 1:00;7.43;98.04;70.08;3.15;;;
27;;2/1/2023 2:00;7.39;97.72;70.05;3.02;;;
28;;2/1/2023 3:00;7.27;97.74;70.03;3.49;;;
29;;2/1/2023 4:00;7.1;98.14;70.05;4.57;;;
30;;2/1/2023 5:00;6.99;97.94;70.09;6.38;;;
31;;2/1/2023 6:00;7.08;96.85;70.14;7.11;;;
32;;2/1/2023 7:00;7.9;91.74;70.19;3.07;;;
33;;2/1/2023 8:00;9.38;84.56;70.24;1.74;;;
34;;2/1/2023 9:00;11.46;75.34;70.25;1.15;;;
35;;2/1/2023 10:00;12.85;68.65;70.22;1.01;;;
36;;2/1/2023 11:00;13.66;64.78;70.18;1.06;;;
37;;2/1/2023 12:00;13.88;64.51;70.12;1.37;;;
38;;2/1/2023 13:00;13.86;66.16;70.06;2.06;;;
39;;2/1/2023 14:00;13.64;68.69;70.0;3.4;;;
40;;2/1/2023 15:00;12.97;72.61;69.96;4.42;;;
41;;2/1/2023 16:00;11.86;79.07;69.96;4.82;;;
42;;2/1/2023 17:00;10.71;86.66;69.99;5.31;;;
43;;2/1/2023 18:00;9.92;93.31;70.02;5.95;;;
44;;2/1/2023 19:00;9.74;95.6;70.05;6.33;;;
45;;2/1/2023 20:00;9.6;96.57;70.1;5.89;;;
46;;2/1/2023 21:00;9.4;97.24;70.12;5.13;;;
47;;2/1/2023 22:00;9.1;97.68;70.11;4.21;;;
48;;2/1/2023 23:00;8.72;98.23;70.1;3.49;;;
49;;3/1/2023 0:00;8.3;98.69;70.07;2.65;;;
50;;3/1/2023 1:00;7.95;98.52;70.04;1.87;;;
51;;3/1/2023 2:00;7.47;97.47;70.02;1.29;;;
52;;3/1/2023 3:00;7.11;96.92;70.02;0.89;;;
53;;3/1/2023 4:00;6.74;96.83;70.03;0.68;;;
54;;3/1/2023 5:00;6.52;96.74;70.06;0.6;;;
55;;3/1/2023 6:00;6.73;96.2;70.1;0.66;;;
56;;3/1/2023 7:00;7.79;91.86;70.16;0.59;;;
57;;3/1/2023 8:00;9.94;82.95;70.2;0.59;;;
58;;3/1/2023 9:00;12.43;71.09;70.21;0.64;;;
59;;3/1/2023 10:00;14.19;63.56;70.19;0.91;;;
60;;3/1/2023 11:00;14.99;61.37;70.14;1.54;;;
61;;3/1/2023 12:00;15.34;61.48;70.08;2.56;;;
62;;3/1/2023 13:00;15.06;63.91;70.01;4.08;;;
